amount,revenue,type,default
1805.27,48156.02,B,1
1190.22,13810.45,A,0
0,32514.95,B,0
522.9,33647.45,B,0
1182.05,48022.94,B,0
220.33,34897.83,B,0
756.55,36328.06,B,0
247.24,47716.21,B,0
1114.71,40076,B,0
1322.08,30025.08,B,0
395.43,45990.56,B,0
1598.27,27456.49,B,0
1087.51,38864.27,B,0
607.82,54194.08,B,0
1711.82,51464.59,B,0
740.3,47871.9,B,0
549.6,14025.47,A,0
737.19,18905.2,A,0
1318.01,16124.06,A,0
0,32464.22,B,0
0,45453.43,B,0
958.7,31321.31,B,0
271.09,58226.37,B,0
659.39,52367.17,B,0
1734.82,21267.52,A,0
1196.27,18582.61,A,0
1718.19,38234.25,B,1
1620.1,38741.76,B,1
2015.07,17436.87,A,1
1435.13,12273,A,0
1008.9,15039.67,A,0
598.77,36788.88,B,0
1035.29,54253.36,B,0
860.59,21156.83,A,0
890.04,45431.32,B,0
154.1,49792.63,B,0
772.53,39333.07,B,0
1168.86,10445.06,A,0
457.45,35951.68,B,0
650.37,48278.96,B,0
720.95,31264.39,B,0
310.5,18231.46,A,0
470.23,15575.1,A,0
1280.08,36564.04,B,0
1305.17,19177.31,A,0
1162.63,21876.08,B,0
151.77,23537.83,B,0
1553.63,48754.04,B,0
583.83,47820,B,0
1577.04,18789.67,A,0
640.37,34468.99,B,0
848.82,40552.28,B,0
468.62,29310.13,B,0
257.88,21970.36,A,0
469.59,53490.63,B,0
1414.61,33778.56,B,0
551.84,65431.74,B,0
703.18,19261.16,A,0
426.67,29622.45,B,0
1011.69,11783.1,A,0
356.7,36736.99,B,0
452.82,39676.67,B,0
556.91,11633.54,A,0
581.36,34432.15,B,0
433.96,45665.74,B,0
1274.11,45802.52,B,0
1919.63,17315.46,A,1
40.25,33886.39,B,0
893.08,33089.25,B,0
449.26,42316.38,B,0
1301.8,49301.28,B,0
1065.06,31335.74,B,0
1085.21,44312.34,B,0
25.79,28095.04,B,0
960.3,27962.7,B,1
196.95,35455.28,B,0
920.91,40056.86,B,0
1135.82,38969.93,B,0
0,49888.14,B,0
1219.29,23393.38,A,0
398.85,25796.5,A,0
755.39,24176.34,B,0
835.11,53593.86,B,0
1152.82,29096.18,B,0
354.44,34958.62,B,0
136.48,21144.16,B,0
828.08,41818.74,B,0
901.54,20750.6,A,0
1622.11,11545.35,A,0
932.36,42368.34,B,0
1274.23,10193.25,B,0
934.87,45051.92,B,0
1381.1,24011.57,A,0
1675.72,36766.49,B,0
781.57,36325.96,B,0
1006.59,31366,B,0
485.49,26410.62,B,0
1337.91,37966.73,B,1
839.41,40980.49,B,0
1303.46,51786.16,B,1
573,45246.34,B,0
869.93,27669.99,B,0
325.08,19167.65,A,0
0,15716.31,A,0
0,55798.35,B,0
855.2,46890.49,B,0
546.1,52489.3,B,0
1242.13,15994.3,A,0
943.08,40968.29,B,0
434.53,35226.08,B,0
178.12,34934.2,B,0
710.25,17705.2,A,0
0,50485.21,B,0
526.78,47019.62,B,0
700.33,29929.93,B,0
505.44,51838.85,B,0
503.24,44057.73,B,0
551.3,15254.85,A,0
804.06,30800.27,B,0
1266.5,36669.38,B,0
47.01,38324.72,B,0
1059.57,16915.23,A,0
1348.75,59186.53,B,0
1164.24,35539.02,B,0
559.19,28485.42,B,0
606.94,50884.94,B,0
0,57315.23,B,0
1177.76,24401.17,A,0
628.37,15484.98,A,0
83.17,30010.35,B,0
655.26,18649.8,A,0
1344.36,40807.55,B,0
1292.73,19012.67,A,0
540.44,50652.8,B,0
1631.73,16482.35,A,0
1919.48,40559.23,B,1
1102.09,14080.13,A,0
1160.05,21349.04,A,0
748.74,65879.25,B,0
791.28,44367.54,B,0
1206.21,43449.36,B,0
526.73,28374.77,B,0
759.47,55179.17,B,0
520.21,20348.99,A,0
906.13,42255.47,B,0
1407.34,18963.41,A,0
952.12,45561.56,B,0
431.69,41478.98,B,0
58.25,26709.62,B,0
881.08,50985.04,B,0
194.54,26755.44,B,0
932.83,38797.88,B,0
1463.77,15888.09,A,0
474.92,58572.74,B,0
1613.83,42632.33,B,0
925.73,33723.63,B,0
908.18,17015.99,A,0
1040.96,6633.22,A,0
908.44,38735.73,B,0
462.89,33972.64,B,0
1187.49,20014.64,A,0
341.5,29648.46,B,0
834.79,20796.19,A,0
613.9,15518.83,A,0
1248.92,37416.05,B,0
1206.67,38061.47,B,0
1129.83,16040.44,A,0
259.48,39351.33,B,0
680.45,27276.95,B,0
1380.7,35160.77,B,0
708.9,55590.46,B,0
901.67,36833.34,B,0
0,14763.28,A,0
0,30506.33,B,0
0,42288.07,B,0
2060.33,36654.18,B,1
1054.71,15623.71,A,0
579.12,43794.01,B,0
1665.44,66811.46,B,1
1299.07,49156.58,B,0
1457.02,34093.27,B,0
438.32,19995.11,A,0
1280.49,17301.95,A,0
520.17,44347.3,B,0
345.17,25059.49,B,0
516.52,40697.74,B,0
331.85,38339.89,B,0
791.79,32735.67,B,0
1082.91,52152.83,B,0
1438.58,24275.71,A,0
25.94,45044.98,B,0
1034.16,29655.52,B,0
379.01,56679.53,B,0
0,45625.85,B,0
1040.7,18679.22,A,0
281.63,41035.75,B,0
873.64,33249.01,B,0
1175.67,25619.26,B,0
763.21,32497.34,B,0
649.8,22899.31,B,0
1062.71,45919.87,B,0
1012.01,8906.37,A,0
1654.6,22863.93,B,0
384.92,11815.57,A,0
129.13,44555.29,B,0
907.09,13108.78,A,0
866.86,32948.09,B,0
601.82,31345.01,B,0
1442.63,20282.71,B,0
1105.01,34289.31,B,0
902.76,47106.11,B,0
941.55,18386.71,A,0
828.99,17824.78,A,0
435.81,14332.49,A,0
690.47,41918.34,B,0
1167.81,47307.87,B,0
730.86,43804.76,B,0
1166.54,19146.79,A,0
1081.97,18219.23,A,0
1498.59,16983.83,A,0
1254.27,43501.77,B,0
375.78,39495.71,B,0
1251.08,25351.21,A,0
728.15,18673.3,A,0
235.78,20694.62,A,0
1487.41,23629.62,A,0
1102.87,38947.78,B,0
596.37,42449,B,0
710.22,13443.01,A,0
1138.83,34013.23,B,0
792.76,47235.44,B,0
1040.68,50037.51,B,0
1005.27,34263.88,B,0
279.45,30741.1,B,0
528.71,39103.91,B,0
921.77,48617.74,B,0
761.24,14294.07,A,0
982.86,48555.55,B,0
0,39766.37,B,0
695.6,24092.66,B,0
0,41828.17,B,0
894.72,22052.59,A,0
1045.95,17040.74,B,0
665.56,41409.3,B,0
1359.78,17556.6,A,0
262.93,34118.83,B,0
581.32,43115.72,B,0
1171.33,36324.86,B,0
1279.37,26683.99,A,0
439.26,17211.76,A,0
467.08,42999.32,B,0
1456.08,15003.2,A,0
1088.27,10647.57,A,0
1195.34,18026.42,A,0
826.35,32982.7,B,0
1173.94,16189.03,A,0
714.74,17281.76,A,0
681.61,43858.04,B,0
363.37,35474.96,B,0
0,45913.87,B,0
82.13,35605.42,B,0
929.73,13316.11,B,0
1947.52,17967.49,A,0
926.36,39508.21,B,0
1217.82,44270.66,B,0
1721.94,30945.12,B,1
1238.65,49333.79,B,0
1199.13,23139.46,A,0
1272.32,34691.99,B,0
599.53,55534.97,B,0
350.89,47422.41,B,0
226.3,54615.09,B,0
851.73,23053.73,B,0
354.65,49837.6,B,0
1414.01,49255.69,B,0
716.76,14031.48,A,0
118.2,46741.93,B,0
765.62,49653,B,0
2045.4,10565.1,A,1
1304.33,15660.25,A,0
1277.64,55847.1,B,0
568.47,67559.6,B,0
1488.83,11565.98,A,0
1582.05,19783.72,A,0
315.36,30040.69,B,0
274.09,62683.56,B,0
675.9,43221.59,B,0
2181.64,20627.71,A,1
1700.34,38756.75,B,0
1568.66,61722.63,B,1
788.13,44040.51,B,0
957.6,38979.27,B,0
357.04,38770.72,B,0
504.53,31767.54,B,0
453.16,48000,B,0
1301,57362.81,B,0
957.2,54643.94,B,0
1294.75,23589.66,A,0
530.68,44191.41,B,0
1184.95,23869.54,B,0
438.03,30541.61,B,0
1795.72,29229.39,A,1
857.86,42977.02,B,0
686.61,33032.48,B,0
914.56,23046.69,A,0
0,56746.02,B,0
326.68,12286.79,A,0
1354.16,38350.28,B,0
978.97,22735.62,A,0
381.62,40815.83,B,0
569.47,38495.79,B,0
662.76,14414.61,A,0
646.33,30704.59,B,0
825.95,24690.4,A,0
662.91,40915.56,B,0
1009.13,34411.78,B,0
1637.32,15259.19,A,0
1379.62,20469.4,B,0
830.18,38079.19,B,0
465.67,41987.7,B,0
1121.24,34915.05,B,0
848.66,43314.28,B,0
1187.19,39092.39,B,0
96.46,45001.55,B,0
1047.88,54818.64,B,0
711.48,16699.41,A,0
1924.63,12108.3,A,0
457.01,13139.81,B,0
389.54,39083.69,B,0
882.31,36261.65,B,0
768.61,43384.92,B,0
865.67,32108.65,B,0
1429.28,47879.84,B,0
619.3,18175.91,A,0
380.08,18777.98,A,0
329.86,55571.89,B,0
926.84,38801.18,B,0
1331.36,54333.59,B,0
1273.79,33026.58,B,0
807.69,14555.93,A,0
0,41845.92,B,0
1030.58,59579.59,B,0
1561.48,16066.6,A,1
765.77,18653.74,A,0
1181.08,22642.41,A,0
443.54,36471.49,B,0
67.62,43363.75,B,0
628.21,46058.34,B,0
1116.76,31256.07,A,0
720.55,49353.12,B,0
1085.84,57995.02,B,0
766.57,21098.49,A,0
1612.87,19747.06,A,0
542.17,52264.55,B,0
694.5,17496.69,A,0
0,49647.55,B,0
1350.63,26422.44,B,0
895.55,40459.51,B,0
793.62,32620.27,B,0
1277.71,6435.18,A,0
973.09,44407.34,B,0
559.9,46084.34,B,0
0,54145.44,B,0
366.62,53408.07,B,0
906.29,17130.38,A,0
614.05,42514.84,B,0
400.26,40598.56,B,0
493.45,37700.86,B,0
1454.26,46876.64,B,0
1016.99,35907.6,B,0
1207.67,18928.09,A,0
1667.7,13848.84,A,0
922.21,32839.17,B,0
232.78,42417.56,B,0
1176.6,34775.37,B,0
1295.08,40644.38,B,0
966.05,16423.49,A,0
566.55,52502.4,B,0
177.92,15277.51,A,0
1744.17,19136.64,A,0
839.54,19973.18,A,0
1152.29,30838.62,B,0
1099.24,22754.03,A,0
454.96,43478.31,B,0
1472.82,32073.87,B,0
177.46,54758.11,B,0
525.49,29710.51,B,0
484.86,12623.37,A,0
915.45,36425.03,B,0
905.72,37906.66,B,0
838.04,51553.55,B,0
389.25,54415.33,B,0
706.74,42880.47,B,0
1251.13,38804.75,B,0
1789,21601.28,A,0
450.55,11450.77,A,0
891.88,14626.92,A,0
806.28,13814.2,A,0
520.27,44629.64,B,0
96.7,31189.99,B,0
592.64,32379.92,B,0
758.68,21639.41,A,0
655.02,29571.69,B,0
439.77,24536.83,B,0
1684.51,35668.26,B,0
209.3,36751.05,B,0
1252.55,34205.2,B,0
526.29,24910.61,A,0
1162.61,23640.35,A,0
787.58,15635.22,A,0
1074.63,32085.75,B,0
627.34,41242.89,B,0
707.55,37508.35,B,0
146.19,15155.31,A,0
955.19,60488.83,B,0
1354.69,8587.79,A,0
393.04,35937.26,B,0
1175.03,53027.84,B,0
435.35,35790.49,B,0
1747.81,49264.38,B,0
341.92,43409.4,B,0
0,40137.55,B,0
1252.21,19589.87,A,0
930.61,18399.32,A,0
798.08,48788.92,B,0
950.94,26692.45,B,0
1712.02,16978.44,A,1
445.77,42443.78,B,0
1823.11,23455.57,A,0
1622.64,14256.9,A,0
1211.01,40530.29,B,0
48.83,34696.8,B,0
461.34,44870.37,B,0
777.34,18075.64,A,0
944.91,59925.29,B,0
442.63,51121.93,B,0
962.42,27040.72,B,0
747.85,41657.48,B,0
419.41,60827.6,B,0
531.31,51704.19,B,0
421.79,58372.61,B,0
855.31,45082.12,B,0
1158.11,27041.64,A,0
877.89,37576.74,B,0
462.43,16350.84,A,0
698.94,31557.73,B,0
771.66,24362.65,A,0
1478.62,49500.35,B,1
137.02,11190.23,A,0
1097.7,15670.43,A,0
177.46,49260.82,B,0
881.9,18649.32,A,0
1141.54,23378.98,A,0
508.33,30826.7,B,0
1796.49,20550.74,A,0
273.32,22008.5,B,0
1924.75,12264.42,A,0
317.26,48427.98,B,0
600.99,32120.21,B,0
12.16,32883.53,B,0
1375.54,39994.13,B,0
1098.85,12169.73,A,0
865.59,43884.04,B,0
1009.39,43785,B,0
1475.35,47225.54,B,0
488.38,38180.17,B,0
221.28,31036.27,B,0
768,50475.45,B,0
63.02,12259.48,A,0
1028.91,21213.93,A,0
603.9,51027.66,B,0
0,61817.94,B,0
356.26,43996.8,B,0
0,47267.34,B,0
253.72,27680.11,B,0
1193.55,34669.86,B,0
525.5,44582.3,B,0
665.4,42275.37,B,0
0,26058.82,B,0
958.24,43814.07,B,0
623.37,45319.59,B,0
1173.53,27731.83,B,0
997.1,25871.85,B,0
839.44,57542.83,B,0
709.74,36030,B,0
910.16,60900.43,B,0
1319.98,30738.04,B,0
872.95,29332.28,B,0
326.93,52650.02,B,0
175.15,55504.62,B,0
878.69,48221.19,B,0
384.58,8995.18,A,0
1029.8,20859.62,A,0
527.75,11992.05,A,0
782.13,52832.14,B,0
948.38,48186.71,B,0
1379.42,43598.52,B,0
1357.96,32665.33,B,0
0,33784.15,B,0
686.82,45151.81,B,0
1313.07,30546.08,B,0
525.1,48487.72,B,0
1699.12,9507.22,A,0
677.15,55422.54,B,0
708.3,31778.11,B,0
223.41,33217.99,B,0
766.51,21452.75,B,0
997.93,11048.66,A,0
917.12,19534.45,A,0
373.8,56162.29,B,0
784.02,21346.82,A,0
1249.29,18954.31,A,0
419.65,48396.44,B,0
389.66,37503.79,B,0
700.21,33685.28,B,0
0,57124.49,B,0
1311.79,8543.75,A,0
1057.04,50796.2,B,0
1601.72,23255.03,A,0
313.97,52119.13,B,0
346.07,31574.05,B,0
827.8,22665.05,A,0
100.38,23399.05,B,0
1432.8,47087.02,B,1
786.67,38321.53,B,0
735.64,33145.81,B,0
632.31,52357.76,B,0
915.23,20846.78,A,0
166.35,33817.6,B,0
0,17148.53,B,0
1018.91,44128.37,B,0
1332.95,51447.69,B,0
1429.19,49236.74,B,0
1296.44,36045.98,B,0
1119.25,27656.92,B,0
1037.34,35636.27,B,0
1069.57,49274.97,B,0
1801.36,28602.1,B,0
1570.78,36132.04,B,0
357.64,56935.2,B,0
443.4,28313.46,B,0
0,50196.96,B,0
1466.3,51563.51,B,1
907.8,24218.39,B,0
380.86,21259.53,B,0
1036.88,16216.63,A,0
1015.04,34339.85,B,0
748.19,43945.93,B,0
223.96,41740.16,B,0
1379.86,15527.79,A,0
659.6,52671.43,B,0
538.87,9550.5,A,0
1332.58,12200.95,A,0
780.88,15104.02,A,0
1173.61,39957.81,B,0
1011.45,20995.73,A,0
1314.34,22749.19,A,0
296.18,39815.14,B,0
729,40373.25,B,0
902.43,33876.37,B,0
311.81,18200.81,A,0
1001.47,9795.92,A,0
512.51,35255.61,B,0
588.92,34911.57,B,0
1038.79,24608.5,A,0
1024.76,13411.59,A,0
241.75,25870.79,B,0
1375.4,23713.82,A,0
370.22,34636.76,B,0
436.45,47280.62,B,0
980.43,12524.1,A,0
457.35,37400.75,B,0
1421.94,27867.31,B,1
554.05,15640.98,B,0
986.36,46040.39,B,0
1369.46,16986.44,A,0
742.22,44858.72,B,0
2039.52,52410.39,B,1
234.77,13565.04,A,0
677.99,19770.52,A,0
1269.82,49625.52,B,0
1032.38,32102.78,B,0
419.64,48880.12,B,0
552.02,44726.96,B,0
1268.09,56028.66,B,0
1646.93,16678.6,A,0
1057.29,43285.46,B,0
1157.9,18802.25,A,0
899.96,55341.55,B,0
1579.41,51760.84,B,0
555.22,19635.12,A,0
1403.33,37629.78,B,0
928.1,19080.93,A,0
1.96,42801.44,B,0
273.69,33812.44,B,0
346.77,54280.86,B,0
1695.48,27474.61,B,0
978.45,43918.09,B,0
1674.28,23838.37,A,0
1105.73,20299.39,A,0
1193.65,38116.79,B,0
0,33006.07,B,0
215.32,33400.83,B,0
720.31,13653.69,A,0
236.14,44949.47,B,0
1227,39103.15,B,0
815.58,49933.83,B,0
248.02,41778.37,B,0
325.04,27794.83,B,0
328.86,15023.74,A,0
1376.49,17006.66,A,0
1401.68,38872.52,B,0
1103.52,43876.44,B,0
278.49,36994.02,B,0
519.79,17285.45,A,0
1249.23,24226.53,A,0
1024.26,2715.58,A,0
725.59,19431.89,A,0
1872.09,21558.34,A,0
1174.44,15933.66,A,0
1079.49,31992.37,B,0
1460.18,38298.12,B,0
1370.12,48981.4,B,0
204.94,42390.2,B,0
594.55,43864.9,B,0
871.59,24582.23,B,0
1028.81,41556.73,B,0
1289.88,15939.73,A,0
1213.55,18151.69,A,0
387.54,27098.1,B,0
1749.81,20480.51,A,0
0,38134.43,B,0
100.68,26394.74,A,0
1145.99,12679.57,A,0
563.71,21538.67,A,0
436.96,44566.71,B,0
993.55,13747.21,A,0
438.92,16898.86,A,0
1190.61,47644.87,B,0
1895.73,16805.52,A,1
1052.44,34261.74,B,0
653.1,40043.96,B,0
829.5,10043.17,A,0
1792.68,12422.79,A,0
679.24,39053.39,B,0
577.94,24486.85,B,0
710.19,28071.2,B,0
0,37940.97,B,0
821.54,18780.21,A,0
333.49,11501.51,B,0
1193.9,38135.43,B,0
307.62,14823.68,A,0
716.55,32540.64,B,0
873.59,11695.58,A,0
222.24,18717.46,A,0
59.81,36080.45,B,0
1615.48,16340.93,A,0
899.37,31596.72,B,0
1054.88,40523.25,B,0
404.78,42475.23,B,0
942.99,50094.94,B,0
863.98,46190.82,B,0
1276.53,20057.27,A,0
1781.58,20773.74,A,0
919.04,18739.01,A,0
1126.53,18413.17,A,0
917.08,16395.73,A,0
572.61,41528.78,B,0
875.39,20276.37,A,0
331.23,33408.92,B,0
1055.95,39348.18,B,0
1202.77,35803.02,B,0
48.62,30573.82,B,0
153.06,38899.06,B,0
941.56,18262.4,A,0
970.77,33287.51,B,0
785.2,13482.57,A,0
740.9,47041.83,B,0
64.24,48425.13,B,0
1029.01,40720.27,B,0
804.35,35755.97,B,0
995.57,45262.35,B,0
631.65,30687.42,B,0
395.44,18512.75,A,0
1120.67,17583.72,A,0
2220.66,20829.46,A,1
1037.96,22826.92,A,0
1043.16,12659.47,A,0
808.72,23889.34,A,0
1039.8,24044.48,A,0
1591.29,26488.75,B,0
263.3,26210.99,B,0
983.54,31264.93,B,0
1297.81,38795.15,B,0
981.29,18794.18,A,0
2014.27,36138.88,B,1
692.39,17613.93,A,0
1519.62,43890.15,B,1
592.55,58955.86,B,0
825.27,36463.18,B,0
865.14,37292.84,B,0
964.58,33191.28,B,0
1161.12,27508.68,B,0
857.41,19266.1,A,0
890.37,38123.26,B,0
408.66,18657.59,B,0
585.97,47779.63,B,0
66.7,32168.76,B,0
878.31,13248.63,A,0
615.9,17801.86,A,0
355.26,48612.14,B,0
534.66,28817.43,B,0
203.37,38915.02,B,0
1005.11,54473.49,B,0
1435.77,37429.15,B,0
175.73,40575.08,B,0
715.84,49640.32,B,0
350.61,30740.41,B,0
1235.63,21545.66,A,0
642.76,18445.67,A,0
1593.18,31100.39,B,0
625.61,49327.16,B,0
814.75,26810.57,A,0
709.84,49434.64,B,0
583.11,40459.49,B,0
1012.47,22171.73,A,0
0,41947.99,B,0
864.2,39248.17,B,0
1252.59,26236.46,B,0
764.93,31052.98,B,0
875.93,45308.53,B,0
698.69,24019.07,B,0
148.19,36807.78,B,0
356.52,42526.15,B,0
696.98,38519.25,B,0
1036.41,53565.47,B,0
303.99,44327.07,B,0
814.95,55645.84,B,0
1372.71,43068.3,B,0
1260.39,52036.39,B,0
1888.6,49722.96,B,1
1730.54,39608.04,B,0
834.62,39676.57,B,0
1136.92,46820.93,B,0
0,20019.77,A,0
1169.72,13854.73,A,0
1297.65,41836.77,B,0
270.35,42383.08,B,0
525.61,27072.68,B,0
1103,13209.69,A,0
339.67,45086.87,B,0
444.51,29762.48,B,0
573.72,22585.83,A,0
1076.09,46117.84,B,0
747.25,12973.24,A,0
0,15559.83,A,0
0,61092.62,B,0
1055.14,14893.06,A,0
1599.15,28910.33,B,0
1504.64,57206.14,B,0
269.03,24851.8,A,0
570.73,42929.83,B,0
904.86,44580.33,B,0
1225.03,20405.44,A,0
1106.67,23676.48,B,0
1989.25,27969.07,B,1
0,37126.12,B,0
1072.27,21226.99,A,0
1078.96,48904.94,B,0
0,37299.67,B,0
730.24,46316.89,B,0
905.82,15681.83,A,0
1501.1,26638.36,A,0
926.23,20559.88,A,0
1306.63,15710.88,A,0
1324.91,45934.45,B,0
232.86,40621.93,B,0
632.43,35178.07,B,0
573.64,15195.87,A,0
1422,37629.2,B,0
563.7,37220.7,B,0
829.27,13645.4,A,0
253.51,18549.63,A,0
261.53,25542.79,A,0
739.82,36397.92,B,0
1734.68,49754.15,B,1
1210.5,13817.07,A,0
1169.44,39170.78,B,0
591.06,52586.91,B,0
1040.45,21118.09,A,0
362.45,50783.48,B,0
337.13,46209.89,B,0
1200.46,33959.73,B,0
687.25,33010.88,B,0
315.26,28426.58,B,0
346.13,14183.16,A,0
1003.62,51913.57,B,0
1439.62,17659.67,A,0
90.89,19360.54,A,0
466.38,47459.65,B,0
1779.95,20229.1,A,0
1023.53,40848.43,B,0
1299.09,18074.07,A,0
174.68,33145.64,B,0
1407.8,48236.51,B,0
1143.89,49924.38,B,0
959.61,20866.33,A,0
519.25,39086.95,B,0
788.06,48619.81,B,0
862.7,41306.08,B,0
553.14,38615.84,B,0
632.64,13804.15,A,0
269.11,41493.86,B,0
650.34,20340.18,A,0
456.03,27952.71,B,0
1109.53,40612.59,B,0
282.21,39790.64,B,0
851.49,15360.2,A,0
683.72,25777.58,B,0
955.97,23119.03,A,0
420.98,32185.74,B,0
904.43,14314.56,A,0
388.43,22720.17,A,0
540.16,33277.29,B,0
811.88,16723.82,A,0
735.46,42472.3,B,0
1132.28,37090.86,B,0
1645.65,27698.98,B,0
499.14,14343.2,A,0
275.3,34209.87,B,0
1245.34,35522.51,B,0
1492.94,39684.51,B,0
964.64,12809.58,A,0
143.24,53686.44,B,0
624.02,22715.73,B,0
888.67,15250.84,A,0
1249.1,37623.82,B,0
1549.39,32908.88,B,0
1152.86,17111.94,B,0
306.59,13201.97,A,0
